seal_id,words,encoding 
262,maramudaiyan kōṭṭai mai,37 1 57 10 46 5 
263,vanigar pon erpatta,1 1 3 12 56 2 
264,manram mūlam oḻi mai,90 9 68 14 70 1 46 5 
265,maramudaiyan vayil muttirai,37 1 12 10 2 1 
266,perumai pon cīlai okku,76 9 3 12 67 1 33 5 
267,arimai koḷlaṭai velli,39 9 32 8 4 12 
268,vanigar cēvai oḻi,1 1 21 11 70 1 
269,nādu maramudaiyan kānu,17 10 37 1 20 12 
270,perumai peyar āl,76 9 59 14 47 5 
271,aracu arimai taṇmai,77 9 39 9 60 14 
272,ampalam nilam il,62 9 61 10 48 5 
273,vanigar mālāi tēṭu okku,1 1 41 12 25 2 33 5 
274,nāyakan muṭiyum muttirai,7 9 75 14 2 1 
275,maramudaiyan mavatta cīlai mai,37 1 18 10 67 1 46 5 
276,aracu velli oḻi,77 9 4 12 70 1 
277,makkal aḷavu payir,64 13 36 8 65 12 
278,vanigar cēvai muttirai,1 1 21 11 2 1 
279,kalam maramudaiyan kaasu,23 10 37 1 66 12 
280,aracu payir eṭu okku,77 9 65 12 53 5 33 5 
281,kāval pēr kaasu,85 9 43 14 66 12 
282,perumai cīlai mai,76 9 67 1 46 5 
283,vanigar pon koḷ,1 1 3 12 26 2 
284,perun perumai cīlai,8 9 76 9 67 1 
285,maramudaiyan vaḻi oḻi,37 1 24 10 70 1 
286,kāval kānu muttirai mai,85 9 20 12 2 1 46 5 
287,aracu pāṇai velli okku,77 9 13 8 4 12 33 5 
288,vanigar cēvai cīlai,1 1 21 11 67 1 
289,kōṭṭai maramudaiyan kānu,57 10 37 1 20 12 
290,kāval mūlam āl,85 9 68 14 47 5 
291,manram kālam oḻi,90 9 49 14 70 1 
292,kāval nāṭṭu il,85 9 72 10 48 5 
293,vanigar mālāi koḷl,1 1 41 12 27 2 
294,arasar aracu oḻi okku,9 9 77 9 70 1 33 5 
295,maramudaiyan nilam muttirai,37 1 61 10 2 1 
296,manram mālāi cīlai,90 9 41 12 67 1 
297,manram pāṇ payir mai,90 9 29 8 65 12 46 5 
298,vanigar cēvai oḻi,1 1 21 11 70 1 
299,nāṭṭu maramudaiyan kaasu,72 10 37 1 66 12 
300,manram muṭiyum eṭu,90 9 75 14 53 5 
301,vanigar vāy muttirai okku,1 1 54 14 2 1 33 5 
302,vanigar pon mai,1 1 3 12 46 5 
303,vanigar pon māṭu,1 1 3 12 28 2 
304,arimai kāval muttirai,39 9 85 9 2 1 
305,maramudaiyan kadalkol cīlai,37 1 6 10 67 1 
306,vanigar pēr oḻi,1 1 43 14 70 1 
307,nāyakan koḷlaṭai velli,7 9 32 8 4 12 
308,vanigar cēvai muttirai okku mai,1 1 21 11 2 1 33 5 46 5 
309,ur maramudaiyan kānu,10 10 37 1 20 12 
310,vanigar velli āl,1 1 4 12 47 5 
311,nāyakan peyar kadalkol,7 9 59 14 6 10 
312,perun ur il,8 9 10 10 48 5 
313,vanigar mālāi koṭu,1 1 41 12 38 2 
314,ampalam manram cīlai,62 9 90 9 67 1 
315,maramudaiyan vayil oḻi okku,37 1 12 10 70 1 33 5 
316,nāyakan kālam muttirai,7 9 49 14 2 1 
317,arasar aḷavu payir,9 9 36 8 65 12 
318,vanigar cēvai cīlai,1 1 21 11 67 1 
319,nādu maramudaiyan kaasu mai,17 10 37 1 66 12 46 5 
320,nāyakan vayil eṭu,7 9 12 10 53 5 
321,perun taṇmai pāṇai,8 9 60 14 13 8 
322,nambi nādu mai okku,19 13 17 10 46 5 33 5 
323,vanigar pon kaṇ,1 1 3 12 44 2 
324,perumai nāyakan oḻi,76 9 7 9 70 1 
325,maramudaiyan mavatta muttirai,37 1 18 10 2 1 
326,perun vāy cīlai,8 9 54 14 67 1 
327,utaiyavar pāṇai velli,34 13 13 8 4 12 
328,vanigar cēvai oḻi,1 1 21 11 70 1 
329,kalam maramudaiyan kānu okku,23 10 37 1 20 12 33 5 
330,perun mavatta āl mai,8 9 18 10 47 5 46 5 
331,arasar ampalam kānu,9 9 62 9 20 12 
332,iruvar kalam il,35 13 23 10 48 5 
333,vanigar mālāi itta,1 1 41 12 51 2 
334,aracu perun muttirai,77 9 8 9 2 1 
335,maramudaiyan vaḻi cīlai,37 1 24 10 67 1 
336,arasar peyar oḻi okku,9 9 59 14 70 1 33 5 
337,maramudaiyan pāṇ payir,37 1 29 8 65 12 
338,vanigar cēvai muttirai,1 1 21 11 2 1 
339,kōṭṭai maramudaiyan kaasu,57 10 37 1 66 12 
340,arasar vaḻi eṭu,9 9 24 10 53 5 
341,nambi mūlam pāṇ mai,19 13 68 14 29 8 46 5 
342,arimai koḷlaṭai mai,39 9 32 8 46 5 
343,vanigar pon teḷḷu okku,1 1 3 12 52 2 33 5 
344,kāval arasar cīlai,85 9 9 9 67 1 
345,maramudaiyan nilam oḻi,37 1 61 10 70 1 
346,nambi taṇmai muttirai,19 13 60 14 2 1 
347,ampalam koḷlaṭai velli,62 9 32 8 4 12 
348,vanigar cēvai cīlai,1 1 21 11 67 1 
349,nāṭṭu maramudaiyan kānu,72 10 37 1 20 12 
350,nambi aḷavu āl okku,19 13 36 8 47 5 33 5 
351,utaiyavar muṭiyum mālāi,34 13 75 14 41 12 
352,makkal pēr il mai,64 13 43 14 48 5 46 5 
353,vanigar mālāi erpatta,1 1 41 12 56 2 
354,manram arimai oḻi,90 9 39 9 70 1 
355,maramudaiyan kadalkol muttirai,37 1 6 10 2 1 
356,utaiyavar payir cīlai,34 13 65 12 67 1 
357,perumai aḷavu payir okku,76 9 36 8 65 12 33 5 
358,vanigar cēvai oḻi,1 1 21 11 70 1 
359,ur maramudaiyan kaasu,10 10 37 1 66 12 
360,utaiyavar kālam eṭu,34 13 49 14 53 5 
361,iruvar perumai vāy,35 13 76 9 54 14 
362,aracu kōṭṭai mai,77 9 57 10 46 5 
363,vanigar pon tēṭu mai,1 1 3 12 25 2 46 5 
364,nāyakan pēr muttirai okku,7 9 43 14 2 1 33 5 
365,maramudaiyan vayil cīlai,37 1 12 10 67 1 
366,iruvar kaasu oḻi,35 13 66 12 70 1 
367,kāval pāṇai velli,85 9 13 8 4 12 
368,vanigar cēvai muttirai,1 1 21 11 2 1 
369,nādu maramudaiyan kānu,17 10 37 1 20 12 
370,iruvar peyar āl,35 13 59 14 47 5 
371,maramudaiyan aracu taṇmai okku,37 1 77 9 60 14 33 5 
372,manram nilam il,90 9 61 10 48 5 
373,vanigar mālāi koḷ,1 1 41 12 26 2 
374,perun kālam cīlai mai,8 9 49 14 67 1 46 5 
375,maramudaiyan mavatta oḻi,37 1 18 10 70 1 
376,maramudaiyan mūlam muttirai,37 1 68 14 2 1 
377,vanigar pāṇ payir,1 1 29 8 65 12 
378,vanigar cēvai cīlai okku,1 1 21 11 67 1 33 5 
379,kalam maramudaiyan kaasu,23 10 37 1 66 12 
380,maramudaiyan payir eṭu,37 1 65 12 53 5 
381,arimai kāval kaasu,39 9 85 9 66 12 
382,nāyakan cīlai mai,7 9 67 1 46 5 
383,vanigar pon koḷl,1 1 3 12 27 2 
384,arasar vāy oḻi,9 9 54 14 70 1 
385,maramudaiyan vaḻi muttirai okku mai,37 1 24 10 2 1 33 5 46 5 
386,arimai muṭiyum cīlai,39 9 75 14 67 1 
387,perun koḷlaṭai velli,8 9 32 8 4 12 
388,vanigar cēvai oḻi,1 1 21 11 70 1 
389,kōṭṭai maramudaiyan kānu,57 10 37 1 20 12 
390,arimai mūlam āl,39 9 68 14 47 5 
391,ampalam manram oḻi,62 9 90 9 70 1 
392,arasar nāṭṭu il okku,9 9 72 10 48 5 33 5 
393,vanigar mālāi māṭu,1 1 41 12 28 2 
394,arimai peyar muttirai,39 9 59 14 2 1 
395,maramudaiyan nilam cīlai,37 1 61 10 67 1 
396,ampalam pon oḻi mai,62 9 3 12 70 1 46 5 
397,nambi aḷavu payir,19 13 36 8 65 12 
398,vanigar cēvai muttirai,1 1 21 11 2 1 
399,nāṭṭu maramudaiyan kaasu okku,72 10 37 1 66 12 33 5 
400,ampalam muṭiyum eṭu,62 9 75 14 53 5 
401,makkal nāyakan muttirai,64 13 7 9 2 1 
402,utaiyavar pon mai,34 13 3 12 46 5 
403,vanigar pon koṭu,1 1 3 12 38 2 
404,ampalam taṇmai cīlai,62 9 60 14 67 1 
405,maramudaiyan kadalkol oḻi,37 1 6 10 70 1 
406,makkal velli muttirai okku,64 13 4 12 2 1 33 5 
407,iruvar pāṇai velli mai,35 13 13 8 4 12 46 5 
408,vanigar cēvai cīlai,1 1 21 11 67 1 
409,ur maramudaiyan kānu,10 10 37 1 20 12 
410,makkal velli āl,64 13 4 12 47 5 
411,perumai perun kadalkol,76 9 8 9 6 10 
412,maramudaiyan ur il,37 1 10 10 48 5 
413,vanigar mālāi kaṇ okku,1 1 41 12 44 2 33 5 
414,perumai ampalam oḻi,76 9 62 9 70 1 
415,maramudaiyan vayil muttirai,37 1 12 10 2 1 
416,perumai kānu cīlai,76 9 20 12 67 1 
417,arimai pāṇ payir,39 9 29 8 65 12 
418,vanigar cēvai oḻi mai,1 1 21 11 70 1 46 5 
419,nādu maramudaiyan kaasu,17 10 37 1 66 12 
420,perumai vayil eṭu okku,76 9 12 10 53 5 33 5 
421,aracu arasar pāṇai,77 9 9 9 13 8 
422,ampalam nādu mai,62 9 17 10 46 5 
423,vanigar pon itta,1 1 3 12 51 2 
424,aracu mūlam muttirai,77 9 68 14 2 1 
425,maramudaiyan mavatta cīlai,37 1 18 10 67 1 
426,aracu mālāi oḻi,77 9 41 12 70 1 
427,makkal koḷlaṭai velli okku,64 13 32 8 4 12 33 5 
428,vanigar cēvai muttirai,1 1 21 11 2 1 
429,kalam maramudaiyan kānu mai,23 10 37 1 20 12 46 5 
430,aracu mavatta āl,77 9 18 10 47 5 
431,kāval pāṇai kānu,85 9 13 8 20 12 
432,perumai kalam il,76 9 23 10 48 5 
433,vanigar mālāi teḷḷu,1 1 41 12 52 2 
434,kāval muṭiyum cīlai okku,85 9 75 14 67 1 33 5 
435,maramudaiyan vaḻi oḻi,37 1 24 10 70 1 
436,kāval pēr muttirai,85 9 43 14 2 1 
437,aracu aḷavu payir,77 9 36 8 65 12 
438,vanigar cēvai cīlai,1 1 21 11 67 1 
439,kōṭṭai maramudaiyan kaasu,57 10 37 1 66 12 
440,kāval vaḻi eṭu mai,85 9 24 10 53 5 46 5 
441,manram pāṇ pāṇ okku,90 9 29 8 29 8 33 5 
442,kāval koḷlaṭai mai,85 9 32 8 46 5 
443,vanigar pon erpatta,1 1 3 12 56 2 
444,manram perumai oḻi,90 9 76 9 70 1 
445,maramudaiyan nilam muttirai,37 1 61 10 2 1 
446,manram kālam cīlai,90 9 49 14 67 1 
447,manram pāṇai velli,90 9 13 8 4 12 
448,vanigar cēvai oḻi okku,1 1 21 11 70 1 33 5 
449,nāṭṭu maramudaiyan kānu,72 10 37 1 20 12 
450,manram aḷavu āl,90 9 36 8 47 5 
451,vanigar koḷlaṭai mālāi mai,1 1 32 8 41 12 46 5 
452,vanigar pēr il,1 1 43 14 48 5 
453,vanigar mālāi tēṭu,1 1 41 12 25 2 
454,nāyakan aracu muttirai,7 9 77 9 2 1 
455,maramudaiyan kadalkol cīlai okku,37 1 6 10 67 1 33 5 
456,vanigar vāy oḻi,1 1 54 14 70 1 
457,nāyakan pāṇ payir,7 9 29 8 65 12 
458,vanigar cēvai muttirai,1 1 21 11 2 1 
459,ur maramudaiyan kaasu,10 10 37 1 66 12 
460,vanigar kālam eṭu,1 1 49 14 53 5 
461,nāyakan aḷavu vāy,7 9 36 8 54 14 
462,perun kōṭṭai mai okku mai,8 9 57 10 46 5 33 5 46 5 
463,vanigar pon koḷ,1 1 3 12 26 2 
464,perun kāval cīlai,8 9 85 9 67 1 
465,maramudaiyan vayil oḻi,37 1 12 10 70 1 
466,nāyakan peyar muttirai,7 9 59 14 2 1 
467,arasar koḷlaṭai velli,9 9 32 8 4 12 
468,vanigar cēvai cīlai,1 1 21 11 67 1 
469,nādu maramudaiyan kānu okku,17 10 37 1 20 12 33 5 
470,nāyakan peyar āl,7 9 59 14 47 5 
471,perun arimai taṇmai,8 9 39 9 60 14 
472,nambi nilam il,19 13 61 10 48 5 
473,vanigar mālāi koḷl mai,1 1 41 12 27 2 46 5 
474,arasar manram oḻi,9 9 90 9 70 1 
475,maramudaiyan mavatta muttirai,37 1 18 10 2 1 
476,perun taṇmai cīlai okku,8 9 60 14 67 1 33 5 
477,utaiyavar aḷavu payir,34 13 36 8 65 12 
478,vanigar cēvai oḻi,1 1 21 11 70 1 
479,kalam maramudaiyan kaasu,23 10 37 1 66 12 
480,perun payir eṭu,8 9 65 12 53 5 
481,arasar pēr kaasu,9 9 43 14 66 12 
482,iruvar cīlai mai,35 13 67 1 46 5 
483,vanigar pon māṭu okku,1 1 3 12 28 2 33 5 
484,arimai nāyakan muttirai mai,39 9 7 9 2 1 46 5 
485,maramudaiyan vaḻi cīlai,37 1 24 10 67 1 
486,arasar payir oḻi,9 9 65 12 70 1 
487,maramudaiyan pāṇai velli,37 1 13 8 4 12 
488,vanigar cēvai muttirai,1 1 21 11 2 1 
489,kōṭṭai maramudaiyan kānu,57 10 37 1 20 12 
490,arasar mūlam āl okku,9 9 68 14 47 5 33 5 
491,nambi kālam oḻi,19 13 49 14 70 1 
492,arimai nāṭṭu il,39 9 72 10 48 5 
493,vanigar mālāi koṭu,1 1 41 12 38 2 
494,ampalam perun cīlai,62 9 8 9 67 1 
495,maramudaiyan nilam oḻi mai,37 1 61 10 70 1 46 5 
496,nambi kaasu muttirai,19 13 66 12 2 1 
497,ampalam pāṇ payir okku,62 9 29 8 65 12 33 5 
498,vanigar cēvai cīlai,1 1 21 11 67 1 
499,nāṭṭu maramudaiyan kaasu,72 10 37 1 66 12 
500,nambi muṭiyum eṭu,19 13 75 14 53 5 
501,utaiyavar vāy muttirai,34 13 54 14 2 1 
502,makkal pon mai,64 13 3 12 46 5 
503,vanigar pon kaṇ,1 1 3 12 44 2 
504,perumai arasar oḻi okku,76 9 9 9 70 1 33 5 
505,maramudaiyan kadalkol muttirai,37 1 6 10 2 1 
506,utaiyavar mūlam cīlai mai,34 13 68 14 67 1 46 5 
507,perumai koḷlaṭai velli,76 9 32 8 4 12 
508,vanigar cēvai oḻi,1 1 21 11 70 1 
509,ur maramudaiyan kānu,10 10 37 1 20 12 
510,utaiyavar velli āl,34 13 4 12 47 5 
511,iruvar peyar kadalkol okku,35 13 59 14 6 10 33 5 
512,aracu ur il,77 9 10 10 48 5 
513,vanigar mālāi itta,1 1 41 12 51 2 
514,aracu arimai muttirai,77 9 39 9 2 1 
515,maramudaiyan vayil cīlai,37 1 12 10 67 1 
516,iruvar muṭiyum oḻi,35 13 75 14 70 1 
517,kāval aḷavu payir mai,85 9 36 8 65 12 46 5 
518,vanigar cēvai muttirai okku,1 1 21 11 2 1 33 5 
519,nādu maramudaiyan kaasu,17 10 37 1 66 12 
520,iruvar vayil eṭu,35 13 12 10 53 5
